Crop,Bio_fertilizer,Intercrop
rice,Blue-green algae and Azolla,blackgram
maize,Azospirillum,Legumes
chickpea,Rizobium,mustard
kidneybeans,Rhizobium phaseoli,Eggplant/corn
pigeonpeas,Rhizobium leguminosarum,oilseeds
mothbeans,Rhizobium phaseoli,Eggplant/corn
mungbeans,Rhizobium phaseoli,Eggplant/corn
blackgram,Rhizobium,Maize
lentil,Rhizobium,"wheat, barley or oats"
pomegranate,Azotobacter,papaya
banana,Azotobacter,"Radish, cauliflower"
mango,Azotobacter,sharbati peach
grapes,Azotobacter,Peanuts
watermelon,Azotobacter,Cereals
muskmelon,Azotobacter,chilli
apple,Azotobacter,Pea
orange,Azotobacter,"soyabeans, maize"
papaya,Azotobacter,"chilli, brinjal"
coconut,Azotobacter,"cereals,tapioca"
cotton,Azotobacter,pulses
jute,Rizobium,Green gram
coffee,Azotobacter," cereals, legumes"
