Barley,514.1,23.77,6
Bottle Gourd,189.4,24.05,6
Brinjal,328.2,23.83,6
Castor seed,735.0,23.42,6
Chillies,328.2,23.83,6
Cowpea,675.8,23.7,6
Garlic,514.1,23.77,6
Ginger,757.3,22.81,6
Gram,514.1,23.77,6
Grapes,514.1,23.77,6
Groundnut,328.2,23.83,6
Jowar,328.2,23.83,6
Khesari,514.1,23.77,6
Lady Finger,189.4,24.05,6
Maize,735.0,23.42,6
Moong(Green Gram),189.4,24.05,6
Orange,514.1,23.77,6
Papaya,931.0,23.87,6
Potato,328.2,23.83,6
Raddish,189.4,24.05,6
Ragi,514.1,23.77,6
Sannhamp,675.8,23.7,6
Sesamum,514.1,23.77,6
Sugarcane,931.0,23.87,6
Varagu,514.1,23.77,6
Wheat,328.2,23.83,6
